Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Home Team Initials,Away Team Initials
1930,7/13/1930,Group 1,France,4,1,Mexico, ,FRA,MEX
1930,7/13/1930,Group 4,USA,3,0,Belgium, ,USA,BEL
1930,7/14/1930,Group 2,Yugoslavia,2,1,Brazil, ,YUG,BRA
1930,7/14/1930,Group 3,Romania,3,1,Peru, ,ROU,PER
1930,7/15/1930,Group 1,Argentina,1,0,France, ,ARG,FRA
1930,7/16/1930,Group 1,Chile,3,0,Mexico, ,CHI,MEX
1930,7/17/1930,Group 2,Yugoslavia,4,0,Bolivia, ,YUG,BOL
1930,7/17/1930,Group 4,USA,3,0,Paraguay, ,USA,PAR
1930,7/18/1930,Group 3,Uruguay,1,0,Peru, ,URU,PER
1930,7/19/1930,Group 1,Chile,1,0,France, ,CHI,FRA
1930,7/19/1930,Group 1,Argentina,6,3,Mexico, ,ARG,MEX
1930,7/20/1930,Group 2,Brazil,4,0,Bolivia, ,BRA,BOL
1930,7/20/1930,Group 4,Paraguay,1,0,Belgium, ,PAR,BEL
1930,7/21/1930,Group 3,Uruguay,4,0,Romania, ,URU,ROU
1930,7/22/1930,Group 1,Argentina,3,1,Chile, ,ARG,CHI
1930,7/26/1930,Semi-finals,Argentina,6,1,USA, ,ARG,USA
1930,7/27/1930,Semi-finals,Uruguay,6,1,Yugoslavia, ,URU,YUG
1930,7/30/1930,Final,Uruguay,4,2,Argentina, ,URU,ARG
1934,5/27/1934,Preliminary round,Austria,3,2,France,Austria win after extra time ,AUT,FRA
1934,5/27/1934,Preliminary round,Hungary,4,2,Egypt, ,HUN,EGY
1934,5/27/1934,Preliminary round,Switzerland,3,2,Netherlands, ,SUI,NED
1934,5/27/1934,Preliminary round,Sweden,3,2,Argentina, ,SWE,ARG
1934,5/27/1934,Preliminary round,Germany,5,2,Belgium, ,GER,BEL
1934,5/27/1934,Preliminary round,Spain,3,1,Brazil, ,ESP,BRA
1934,5/27/1934,Preliminary round,Italy,7,1,USA, ,ITA,USA
1934,5/27/1934,Preliminary round,Czechoslovakia,2,1,Romania, ,TCH,ROU
1934,5/31/1934,Quarter-finals,Czechoslovakia,3,2,Switzerland, ,TCH,SUI
1934,5/31/1934,Quarter-finals,Germany,2,1,Sweden, ,GER,SWE
1934,5/31/1934,Quarter-finals,Italy,1,1,Spain, ,ITA,ESP
1934,5/31/1934,Quarter-finals,Austria,2,1,Hungary, ,AUT,HUN
1934,6/1/1934,Quarter-finals,Italy,1,0,Spain, ,ITA,ESP
1934,6/3/1934,Semi-finals,Italy,1,0,Austria, ,ITA,AUT
