stage,home_team_cd,away_team_cd
0,QTR,ECU
0,SEN,NED
0,QTR,SEN
0,NED,ECU
0,ECU,SEN
0,NED,QTR
0,ENG,IRN
0,USA,WAL
0,WAL,IRN
0,ENG,USA
0,WAL,ENG
0,IRN,USA
0,ARG,KSA
0,MEX,POL
0,POL,KSA
0,ARG,MEX
0,POL,ARG
0,KSA,MEX
0,DEN,TUN
0,FRA,AUS
0,TUN,AUS
0,FRA,DEN
0,AUS,DEN
0,TUN,FRA
0,GER,JPN
0,ESP,CRC
0,JPN,CRC
0,ESP,GER
0,JPN,ESP
0,CRC,GER
0,MAR,CRO
0,BEL,CAN
0,BEL,MAR
0,CRO,CAN
0,CRO,BEL
0,CAN,MAR
0,SUI,CMR
0,BRA,SRB
0,CMR,SRB
0,BRA,SUI
0,SRB,SUI
0,CMR,BRA
0,URU,KOR
0,POR,GHA
0,KOR,GHA
0,POR,URU
0,GHA,URU
0,KOR,POR
